0	0	0	0	-0.09	0
0	-0.02	0	-0.14	-0.04	-0.01
0	-0.04	0	-0.29	0	-0.02
0	-0.06	0	-0.44	0.04	-0.04
-0.01	-0.08	0	-0.58	0.09	-0.05
-0.01	-0.1	0	-0.73	0.13	-0.06
-0.02	-0.12	0	-0.87	0.17	-0.07
-0.03	-0.14	0	-1.02	0.22	-0.08
-0.04	-0.16	0	-1.16	0.26	-0.09
-0.05	-0.18	0	-1.31	0.3	-0.1
-0.06	-0.2	-0.01	-1.46	0.34	-0.12
-0.07	-0.22	-0.01	-1.6	0.38	-0.13
-0.08	-0.24	-0.01	-1.75	0.43	-0.14
-0.1	-0.25	-0.01	-1.89	0.47	-0.15
-0.11	-0.27	-0.01	-2.04	0.51	-0.16
-0.13	-0.29	-0.01	-2.18	0.55	-0.17
-0.15	-0.3	-0.01	-2.33	0.59	-0.19
-0.17	-0.32	-0.01	-2.34	0.63	-0.2
-0.19	-0.33	-0.02	-2.35	0.67	-0.21
-0.2	-0.35	-0.02	-2.36	0.71	-0.22
-0.22	-0.37	-0.02	-2.37	0.75	-0.23
-0.24	-0.38	-0.02	-2.38	0.78	-0.24
-0.26	-0.4	-0.02	-2.39	0.82	-0.26
-0.28	-0.41	-0.03	-2.4	0.86	-0.27
-0.3	-0.42	-0.03	-2.41	0.89	-0.28
-0.32	-0.44	-0.03	-2.42	0.93	-0.29
-0.34	-0.45	-0.03	-2.43	0.96	-0.3
-0.36	-0.46	-0.03	-2.44	1	-0.31
-0.38	-0.48	-0.04	-2.46	1.03	-0.33
-0.4	-0.49	-0.04	-2.47	1.06	-0.34
-0.42	-0.5	-0.04	-2.48	1.1	-0.35
-0.44	-0.51	-0.05	-2.49	1.13	-0.36
-0.46	-0.52	-0.05	-2.5	1.16	-0.37
-0.48	-0.54	-0.05	-2.51	1.19	-0.38
-0.5	-0.55	-0.05	-2.51	1.22	-0.4
-0.52	-0.56	-0.06	-2.52	1.25	-0.41
-0.54	-0.57	-0.06	-2.53	1.28	-0.42
-0.56	-0.58	-0.06	-2.54	1.31	-0.42
-0.58	-0.59	-0.07	-2.55	1.33	-0.43
-0.6	-0.6	-0.07	-2.56	1.35	-0.44
-0.62	-0.61	-0.07	-2.57	1.37	-0.44
-0.64	-0.62	-0.08	-2.58	1.39	-0.45
-0.66	-0.63	-0.08	-2.59	1.41	-0.45
-0.68	-0.64	-0.09	-2.61	1.42	-0.47
-0.7	-0.65	-0.09	-2.62	1.44	-0.48
-0.72	-0.66	-0.09	-2.63	1.45	-0.49
-0.74	-0.67	-0.1	-2.64	1.47	-0.5
-0.77	-0.68	-0.1	-2.65	1.48	-0.51
-0.79	-0.69	-0.1	-2.66	1.5	-0.53
-0.81	-0.7	-0.11	-2.67	1.51	-0.54
-0.83	-0.7	-0.11	-2.68	1.52	-0.55
-0.85	-0.71	-0.12	-2.69	1.53	-0.56
-0.87	-0.72	-0.12	-2.7	1.54	-0.57
-0.89	-0.73	-0.13	-2.71	1.55	-0.58
-0.92	-0.74	-0.13	-2.71	1.56	-0.59
-0.94	-0.75	-0.14	-2.72	1.56	-0.6
-0.96	-0.76	-0.14	-2.73	1.57	-0.61
-0.98	-0.76	-0.15	-2.74	1.57	-0.62
-1	-0.77	-0.15	-2.75	1.57	-0.63
-1.03	-0.78	-0.16	-2.76	1.57	-0.65
-1.05	-0.79	-0.16	-2.76	1.57	-0.66
-1.07	-0.8	-0.17	-2.77	1.57	-0.67
-1.09	-0.81	-0.17	-2.78	1.57	-0.68
-1.11	-0.82	-0.18	-2.79	1.56	-0.69
-1.14	-0.82	-0.18	-2.8	1.55	-0.7
-1.16	-0.83	-0.19	-2.81	1.54	-0.71
-1.18	-0.84	-0.19	-2.81	1.53	-0.72
-1.2	-0.85	-0.2	-2.82	1.52	-0.73
-1.23	-0.86	-0.21	-2.83	1.51	-0.74
-1.25	-0.87	-0.21	-2.84	1.49	-0.75
-1.27	-0.88	-0.22	-2.85	1.48	-0.76
-1.29	-0.89	-0.22	-2.85	1.46	-0.77
-1.32	-0.89	-0.23	-2.86	1.44	-0.78
-1.34	-0.9	-0.24	-2.87	1.42	-0.79
-1.36	-0.91	-0.24	-2.88	1.39	-0.8
-1.39	-0.92	-0.25	-2.89	1.37	-0.81
-1.41	-0.93	-0.26	-2.89	1.34	-0.82
-1.43	-0.95	-0.26	-2.9	1.31	-0.83
-1.46	-0.96	-0.27	-2.91	1.28	-0.84
-1.48	-0.97	-0.28	-2.91	1.24	-0.85
-1.5	-0.98	-0.28	-2.92	1.21	-0.86
-1.53	-0.99	-0.29	-2.93	1.17	-0.87
-1.55	-1	-0.3	-2.94	1.13	-0.88
-1.57	-1.01	-0.3	-2.94	1.09	-0.89
-1.6	-1.02	-0.31	-2.95	1.05	-0.9
-1.62	-1.04	-0.32	-2.96	1	-0.91
-1.64	-1.05	-0.33	-2.96	0.95	-0.92
-1.67	-1.06	-0.33	-2.97	0.9	-0.93
-1.69	-1.08	-0.34	-2.98	0.85	-0.94
-1.72	-1.09	-0.35	-2.99	0.79	-0.95
-1.74	-1.11	-0.36	-2.99	0.74	-0.96
-1.76	-1.12	-0.36	-3	0.68	-0.97
-1.79	-1.14	-0.37	-3.01	0.62	-0.98
-1.81	-1.16	-0.38	-3.01	0.55	-0.99
-1.84	-1.17	-0.39	-3.02	0.49	-1
-1.86	-1.19	-0.4	-3.03	0.42	-1.01
-1.88	-1.21	-0.4	-3.03	0.35	-1.02
-1.91	-1.23	-0.41	-3.04	0.27	-1.02
-1.93	-1.24	-0.42	-3.05	0.2	-1.03
-1.96	-1.27	-0.43	-3.05	0.12	-1.04
-1.98	-1.29	-0.44	-3.06	0.04	-1.05
-2.01	-1.31	-0.45	-3.06	-0.04	-1.06
-2.03	-1.33	-0.45	-3.07	-0.13	-1.07
-2.05	-1.35	-0.46	-3.08	-0.22	-1.08
-2.08	-1.37	-0.47	-3.08	-0.31	-1.09
-2.1	-1.4	-0.48	-3.09	-0.4	-1.1
-2.13	-1.42	-0.49	-3.09	-0.5	-1.1
-2.15	-1.45	-0.5	-3.1	-0.6	-1.11
-2.18	-1.47	-0.51	-3.11	-0.7	-1.12
-2.2	-1.5	-0.52	-3.11	-0.81	-1.13
-2.23	-1.53	-0.52	-3.12	-0.92	-1.14
-2.25	-1.56	-0.53	-3.12	-1.03	-1.15
-2.28	-1.59	-0.54	-3.13	-1.14	-1.15
-2.3	-1.62	-0.55	-3.14	-1.26	-1.16
-2.33	-1.65	-0.56	-3.14	-1.38	-1.17
-2.35	-1.68	-0.57	-2.73	-1.5	-1.18
-2.37	-1.71	-0.58	-1.99	-1.64	-1.18
-2.38	-1.75	-0.59	-1	-1.78	-1.19
-2.39	-1.79	-0.6	0.17	-1.93	-1.2
-2.38	-1.82	-0.61	1.48	-2.08	-1.21
-2.36	-1.86	-0.62	2.9	-2.23	-1.21
-2.33	-1.9	-0.63	4.41	-2.39	-1.22
-2.29	-1.94	-0.64	5.99	-2.56	-1.23
-2.24	-1.98	-0.65	7.44	-2.72	-1.24
-2.17	-2.03	-0.66	8.63	-2.88	-1.24
-2.1	-2.07	-0.67	9.61	-3.04	-1.25
-2.02	-2.12	-0.68	10.4	-3.2	-1.26
-1.93	-2.16	-0.69	11.05	-3.37	-1.26
-1.84	-2.21	-0.7	11.59	-3.53	-1.27
-1.75	-2.26	-0.71	12.11	-3.69	-1.28
-1.65	-2.31	-0.72	12.55	-3.85	-1.28
-1.55	-2.37	-0.73	12.93	-4.01	-1.29
-1.44	-2.42	-0.74	13.26	-4.18	-1.3
-1.34	-2.47	-0.75	13.54	-4.34	-1.31
-1.23	-2.53	-0.76	13.79	-4.51	-1.31
-1.12	-2.59	-0.77	14	-4.68	-1.32
-1	-2.65	-0.78	14.2	-4.85	-1.33
-0.89	-2.71	-0.79	14.37	-5.02	-1.33
-0.77	-2.77	-0.8	14.53	-5.19	-1.34
-0.66	-2.83	-0.81	14.67	-5.36	-1.35
-0.54	-2.9	-0.82	14.81	-5.54	-1.36
-0.42	-2.96	-0.83	14.93	-5.71	-1.36
-0.3	-3.03	-0.85	15.05	-5.89	-1.37
-0.18	-3.1	-0.86	15.16	-6.07	-1.38
-0.06	-3.17	-0.87	15.26	-6.25	-1.39
0.06	-3.24	-0.88	15.32	-6.44	-1.39
0.19	-3.31	-0.89	15.38	-6.62	-1.4
0.31	-3.39	-0.9	15.43	-6.81	-1.41
0.43	-3.47	-0.91	15.48	-7	-1.42
0.56	-3.54	-0.92	15.53	-7.19	-1.42
0.68	-3.62	-0.94	15.57	-7.38	-1.43
0.81	-3.7	-0.95	15.62	-7.58	-1.44
0.93	-3.79	-0.96	15.66	-7.77	-1.45
1.06	-3.87	-0.97	15.71	-7.97	-1.45
1.18	-3.96	-0.98	15.75	-8.17	-1.46
1.31	-4.04	-0.99	15.79	-8.38	-1.47
1.44	-4.13	-1.01	15.84	-8.58	-1.48
1.56	-4.22	-1.02	15.88	-8.79	-1.48
1.69	-4.31	-1.03	15.92	-9	-1.49
1.82	-4.41	-1.04	15.96	-9.21	-1.5
1.95	-4.5	-1.05	16	-9.43	-1.51
2.07	-4.6	-1.07	16.04	-9.65	-1.51
2.2	-4.7	-1.08	16.09	-9.87	-1.52
2.33	-4.8	-1.09	16.54	-10.1	-1.53
2.47	-4.9	-1.1	17.33	-10.34	-1.54
2.61	-5.01	-1.11	18.36	-10.58	-1.54
2.76	-5.11	-1.13	19.57	-10.84	-1.55
2.93	-5.22	-1.14	20.92	-11.09	-1.56
3.1	-5.33	-1.15	22.39	-11.36	-1.57
3.28	-5.45	-1.16	23.94	-11.62	-1.57
